team,zone,time_delta
TEAM_0,Left Corner 3,1.5333333333333328
TEAM_0,Left Wing,4.900000000000001
TEAM_0,Other,55.93333333333334
TEAM_0,Paint,17.666666666666664
TEAM_0,Right Corner 3,6.666666666666667
TEAM_0,Right Wing,11.200000000000003
TEAM_0,Top Key,7.099999999999998
TEAM_1,Left Corner 3,3.9000000000000035
TEAM_1,Left Wing,17.266666666666666
TEAM_1,Other,43.76666666666665
TEAM_1,Paint,5.400000000000002
TEAM_1,Right Corner 3,2.2333333333333343
TEAM_1,Right Wing,4.999999999999998
TEAM_1,Top Key,3.833333333333336
unknown,Left Corner 3,0.7
unknown,Left Wing,4.833333333333333
unknown,Other,3.9999999999999996
unknown,Paint,2.5666666666666664
unknown,Right Wing,6.033333333333333
unknown,Top Key,2.966666666666667
